TF,LTP,****,P86053,MILTON KEYNES CENTRAL,CREWE,   ,1  ,,00:06:00,,00:06:00,ZZ,22:01:00,00:06:00
TF,VAR,1D19,P16072,BIRMINGHAM NEW STREET,CREWE,   ,7  ,,00:10:00,,00:10:00,AW,22:52:00,00:10:00
TB,LTP,5K63,P69481,CREWE,CREWE C.S.,,12 ,   ,,00:12:00,00:12:00,LM,00:12:00,00:17:00
,LTP,****,Y10022,NEWTON HEATH T.M.D.,CREWE C.S. (L&NWR SITE),   ,UFL,   ,,00:15:00,00:15:00,ZZ,23:08:00,00:20:00
TF,VAR,1K77,Y81731,LONDON EUSTON,CREWE,   ,6  ,,00:15:00,,00:15:00,VT,22:00:00,00:15:00
TF,STP,2W78,V54103,SHREWSBURY,CREWE,   ,7  ,,00:17:00,,00:17:00,AW,23:22:00,00:17:00
TF,LTP,1Y85,P66498,LONDON EUSTON,CREWE,   ,11 ,,00:22:00,,00:22:00,LM,20:49:00,00:22:00
TB,LTP,****,P86051,CREWE,MILTON KEYNES CENTRAL,,1  ,FL ,,00:25:00,00:25:00,ZZ,00:25:00,02:54:00
TB,LTP,****,P86052,CREWE,WEMBLEY NY NO 5 ROAD,,1  ,FL ,,00:25:00,00:25:00,ZZ,00:25:00,04:54:00
TB,STP,5W78,V54116,CREWE,CREWE C.S.,,7  ,   ,,00:25:00,00:25:00,AW,00:25:00,00:30:00
TF,VAR,2K99,P67632,LIVERPOOL LIME STREET,CREWE,   ,11 ,,00:26:00,,00:26:00,LM,23:35:00,00:26:00
TB,LTP,5K77,Y82158,CREWE,CREWE C.S.,,6  ,   ,,00:32:00,00:32:00,VT,00:32:00,00:37:00
TF,LTP,2K38,Y53192,MANCHESTER PICCADILLY,CREWE,   ,1  ,,00:32:00,,00:32:00,NT,23:38:00,00:32:00
,VAR,6A02,H31698,CARLISLE N.Y.,BICESTER MOD GBRF,   ,12 ,   ,00:34:00,00:38:00,00:38:00,ZZ,19:29:00,06:33:00
,LTP,****,H32710,CHIRK KRONOSPAN COLAS RAIL,CARLISLE YARD COLAS RAIL,   ,DFL,   ,,00:41:00,00:41:00,ZZ,22:25:00,04:06:00
,VAR,5K76,P19007,MANCHESTER PICCADILLY,CREWE C.S.,   ,5  ,   ,00:39:30,00:41:30,00:41:30,AW,23:50:00,00:46:30
TB,LTP,2A49,Y50978,CREWE,MANCHESTER PICCADILLY,,1  ,   ,,00:44:00,00:44:00,NT,00:44:00,01:28:00
TF,LTP,5Y00,P69779,CREWE C.S.,CREWE,   ,8  ,,00:54:00,,00:54:00,LM,00:49:00,00:54:00
TF,LTP,1W80,P16643,CARDIFF CENTRAL,CREWE,   ,7  ,,01:01:00,,01:01:00,AW,21:55:00,01:01:00
TB,LTP,5K99,P69490,CREWE,CREWE C.S.,,11 ,   ,,01:05:00,01:05:00,LM,01:05:00,01:10:00
,VAR,****,H32713,CHIRK KRONOSPAN COLAS RAIL,CARLISLE YARD COLAS RAIL,   ,12 ,SL ,,01:14:00,01:14:00,ZZ,23:31:00,04:56:00
TB,LTP,5W80,P19249,CREWE,CREWE C.S.,,7  ,   ,,01:17:00,01:17:00,AW,01:17:00,01:22:00
,LTP,6S01,H32202,BICESTER MOD GBRF,GLEN DOUGLAS MOD GBRF,   ,6  ,   ,01:29:00,01:31:00,01:31:00,ZZ,19:54:00,08:51:00
TF,LTP,5K04,P69460,CREWE C.S.,CREWE,   ,2  ,,01:35:00,,01:35:00,LM,01:30:00,01:35:00
,LTP,****,H36195,CREWE COAL SIDINGS (DRS),SELLAFIELD B.N.F.,   ,6  ,SL ,,01:37:00,01:37:00,ZZ,01:25:00,07:13:00
,LTP,6C01,H31735,BICESTER MOD GBRF,LONGTOWN MOD GBRF,   ,6  ,   ,,01:50:00,01:50:00,ZZ,19:54:00,08:02:00
,LTP,****,H36196,CREWE COAL SIDINGS (DRS),SELLAFIELD B.N.F.,   ,6  ,SL ,,01:58:00,01:58:00,ZZ,01:42:00,08:31:00
,LTP,6B10,H38071,PEAK FOREST CEMEX GBRF,BLETCHLEY CEMEX GBRF,   ,5  ,SL ,,01:58:00,01:58:00,ZZ,23:47:00,05:25:00
,LTP,****,H35029,MARGAM T.C.,CARLISLE N.Y.,   ,UDL,SL ,01:55:00,02:06:00,02:06:00,ZZ,20:26:00,07:36:00
TF,STP,****,K01743,LIVERPOOL LIME STREET,CREWE,   ,1  ,,02:09:00,,02:09:00,ZZ,01:00:00,02:09:00
TB,STP,****,K01740,CREWE,MANCHESTER INT DPT (FL),,6  ,   ,,02:10:00,02:10:00,ZZ,02:10:00,03:02:00
,VAR,****,H34848,MOSSEND DOWN YARD,DAGENHAM DOCK RECEPTION,   ,UFL,   ,,02:22:00,02:22:00,ZZ,17:39:00,11:33:00
,VAR,****,H33707,GRANGEMOUTH TDG (EWS),DAVENTRY INT RFT RECEP RFD,   ,5  ,   ,02:16:00,02:30:00,02:30:00,ZZ,19:27:00,05:08:00
,LTP,1S26,G61083,LONDON EUSTON,GLASGOW CENTRAL,   ,6  ,   ,,02:44:30,02:44:30,CS,23:53:00,07:18:00
,STP,****,R74074,SWINDON COCKLEBURY,LIVERPOOL EURO METAL(MDHC),   ,5  ,SL ,02:38:30,02:48:30,02:48:30,ZZ,19:44:00,04:25:00
,LTP,6M71,H32115,SWINDON EMR  GBRF,LIVERPOOL EMR GBRF,   ,UDL,   ,02:38:30,02:51:30,02:51:30,ZZ,16:00:00,04:42:00
,VAR,****,P86018,WARRINGTON BANK QUAY,STAFFORD,   ,UFL,   ,03:06:00,03:06:00,03:06:00,ZZ,02:20:00,03:45:00
,LTP,5D04,P18633,CREWE C.S.,CHESTER,   ,11 ,   ,03:05:00,03:07:00,03:07:00,AW,03:00:00,03:29:00
,LTP,****,P80071,WILLESDEN PRDC,WARRINGTON ROYAL MAIL(DBS),   ,6  ,   ,,03:30:00,03:30:00,ZZ,00:22:00,03:58:00
,STP,****,K91722,WILLESDEN PRDC,CREWE T.M.D. (E),   ,6  ,   ,,03:30:00,03:30:00,ZZ,00:22:00,03:35:00
,VAR,****,H33734,SOTON W DOCKS BERTH 109,TRAFFORD PARK EURO TERM,   ,6  ,   ,,03:43:00,03:43:00,ZZ,21:50:00,04:51:00
,STP,****,K01779,CREWE SOUTH YARD,ILFORD E.M.U.D.,   ,UDL,SL ,03:28:30,03:53:30,03:53:30,ZZ,03:23:00,08:17:00
,LTP,5N14,Y82216,CREWE C.S.,BLACKPOOL NORTH,   ,6  ,SL ,03:55:00,04:03:00,04:03:00,VT,03:50:00,05:18:00
,LTP,1M11,G61068,GLASGOW CENTRAL,LONDON EUSTON,   ,UFL,SL ,,04:13:30,04:13:30,CS,23:40:00,07:02:00
TF,LTP,****,H33415,WIGAN L.I.P.,CREWE,   ,1  ,,04:20:00,,04:20:00,ZZ,16:34:00,04:20:00
,LTP,5D03,P18631,CREWE C.S.,SHREWSBURY,   ,12 ,   ,04:12:00,04:25:00,04:25:00,AW,04:07:00,04:58:00
TB,LTP,****,H33417,CREWE,WIGAN L.I.P.,,1  ,   ,,04:28:00,04:28:00,ZZ,04:28:00,10:14:00
TF,STP,5G00,V54110,CREWE C.S.,CREWE,   ,7  ,,04:40:00,,04:40:00,AW,04:35:00,04:40:00
,STP,****,U41225,BLACKPOOL NORTH,CREWE GRESTY GREEN UP LOOP,   ,UFL,   ,04:36:00,04:42:00,04:42:00,ZZ,03:00:00,04:51:00
TB,LTP,5V33,P19198,CREWE,MANCHESTER PICCADILLY,,12 ,   ,,04:45:00,04:45:00,AW,04:45:00,06:27:00
TB,STP,2V31,V42613,CREWE,SHREWSBURY,,12 ,   ,,04:50:00,04:50:00,AW,04:50:00,05:29:00
TB,VAR,1G00,P16274,CREWE,BIRMINGHAM NEW STREET,,7  ,SL ,,04:59:00,04:59:00,AW,04:59:00,06:07:00
,LTP,5P46,Y82219,CREWE C.S.,PRESTON,   ,6  ,SL ,04:58:00,05:03:00,05:03:00,VT,04:53:00,05:53:00
TF,LTP,5U00,P69688,CREWE C.S.,CREWE,   ,5  ,,05:08:00,,05:08:00,LM,05:03:00,05:08:00
TF,LTP,****,P86050,MILTON KEYNES CENTRAL,CREWE,   ,1  ,,05:15:00,,05:15:00,ZZ,03:04:00,05:15:00
TB,LTP,5W04,P69760,CREWE,BIRMINGHAM NEW STREET,,2  ,SL ,,05:17:00,05:17:00,LM,05:17:00,06:29:00
TB,VAR,1U00,P66269,CREWE,LONDON EUSTON,,5  ,SL ,,05:21:00,05:21:00,LM,05:21:00,08:05:00
,STP,5J80,V42624,CREWE C.S.,CHESTER,   ,12 ,   ,05:27:00,05:30:00,05:30:00,AW,05:22:00,05:49:00
,VAR,5H89,Y55705,LONGSIGHT CAR. M.D.,MACCLESFIELD,   ,1  ,   ,,05:30:00,05:30:00,NT,04:54:00,06:06:00
TF,LTP,5F27,P69338,CREWE C.S.,CREWE,   ,12 ,,05:33:00,,05:33:00,LM,05:28:00,05:33:00
,LTP,****,P86016,STAFFORD,MANCHESTER INT DPT (FL),   ,5  ,   ,05:30:30,05:34:00,05:34:00,ZZ,04:53:00,06:25:00
TB,LTP,5H40,Y55667,CREWE,CREWE,,3  ,   ,,05:35:00,05:35:00,NT,05:35:00,05:40:00
,LTP,1R02,Y81795,MANCHESTER PICCADILLY,LONDON EUSTON,   ,1  ,FL ,05:34:00,05:36:30,05:36:30,VT,05:05:00,07:26:00
TB,LTP,1F27,P66006,CREWE,LIVERPOOL LIME STREET,,12 ,FL ,,05:40:00,05:40:00,LM,05:40:00,06:20:00
TF,LTP,5H40,Y55667,CREWE,CREWE,   ,1  ,,05:40:00,,05:40:00,NT,05:35:00,05:40:00
,VAR,1M16,G61073,INVERNESS,LONDON EUSTON,   ,6  ,FL ,05:37:30,05:40:30,05:40:30,CS,20:45:00,07:47:00
TB,LTP,2H40,Y52755,CREWE,MANCHESTER PICCADILLY,,1  ,   ,,05:44:00,05:44:00,NT,05:44:00,06:44:00
TF,LTP,5S34,Y82255,CREWE C.S.,CREWE,   ,6  ,,05:46:00,,05:46:00,VT,05:42:00,05:46:00
,LTP,1O04,C10906,MANCHESTER PICCADILLY,BOURNEMOUTH,   ,5  ,   ,05:42:30,05:47:30,05:47:30,XC,05:11:00,10:13:00
,LTP,****,H36208,CREWE COAL SIDINGS (DRS),VALLEY NUCLEAR ELECTRIC,   ,UDL,   ,,05:48:00,05:48:00,ZZ,05:36:00,07:58:00
,STP,5T16,S47119,EDGE HILL DEPOT,BIRMINGHAM INTERNATIONAL,   ,11 ,SL ,,05:50:00,05:50:00,VT,05:07:00,07:09:00
TF,VAR,1K01,P16433,CHESTER,CREWE,   ,11 ,,05:51:00,,05:51:00,AW,05:30:00,05:51:00
TF,LTP,5K00,C61457,CREWE C.S. (L&NWR SITE),CREWE,   ,3  ,,05:52:00,,05:52:00,EM,05:49:00,05:52:00
TF,LTP,5K60,Y82156,EDGE HILL DEPOT,CREWE,   ,1  ,,05:56:00,,05:56:00,VT,05:18:00,05:56:00
TB,LTP,1S34,Y81826,CREWE,GLASGOW CENTRAL,,6  ,FL ,,05:57:00,05:57:00,VT,05:57:00,09:16:00
TF,LTP,1K02,P16435,LLANDUDNO JUNCTION,CREWE,   ,10 ,,05:57:00,,05:57:00,AW,04:38:00,05:57:00
TB,LTP,1V32,P16521,CREWE,CARMARTHEN,,11 ,   ,,05:58:00,05:58:00,AW,05:58:00,10:52:00
TF,LTP,5G05,P69352,CREWE C.S.,CREWE,   ,2  ,,05:59:00,,05:59:00,LM,05:54:00,05:59:00
,LTP,1R05,Y81798,LIVERPOOL LIME STREET,LONDON EUSTON,   ,5  ,   ,06:00:30,06:02:30,06:02:30,VT,05:26:00,07:50:00
TB,VAR,1F28,P66008,CREWE,LIVERPOOL LIME STREET,,12 ,FL ,,06:03:00,06:03:00,LM,06:03:00,06:51:00
TB,LTP,1K00,C60348,CREWE,DERBY,,3  ,   ,,06:07:00,06:07:00,EM,06:07:00,07:24:00
TF,LTP,5K19,Y55874,ALLERTON DEPOT,CREWE,   ,5  ,,06:07:00,,06:07:00,NT,05:10:00,06:07:00
,LTP,5J25,Y82146,CREWE C.S.,WREXHAM GENERAL,   ,11 ,   ,06:07:00,06:10:00,06:10:00,VT,06:04:00,06:57:00
TB,LTP,1H60,Y81684,CREWE,MANCHESTER PICCADILLY,,1  ,   ,,06:11:00,06:11:00,VT,06:11:00,06:48:00
TF,LTP,1K03,P16437,CHESTER,CREWE,   ,6  ,,06:12:00,,06:12:00,AW,05:51:00,06:12:00
,LTP,1R07,Y81800,LANCASTER,LONDON EUSTON,   ,UFL,   ,,06:13:00,06:13:00,VT,05:13:00,07:58:00
TB,LTP,2F19,Y52258,CREWE,LIVERPOOL LIME STREET,,5  ,   ,,06:16:00,06:16:00,NT,06:16:00,08:24:00
TF,LTP,2K40,P17756,SHREWSBURY,CREWE,   ,7  ,,06:17:00,,06:17:00,AW,05:31:00,06:17:00
TB,LTP,1G63,P66106,CREWE,WALSALL,,4  ,FL ,,06:19:00,06:19:00,LM,06:19:00,07:54:00
TB,STP,****,R00768,CREWE,LIVERPOOL LIME STREET,,DFL,SL ,,06:19:00,06:19:00,ZZ,06:19:00,07:15:00
TF,LTP,2A90,Y51016,MANCHESTER PICCADILLY,CREWE,   ,1  ,,06:23:00,,06:23:00,NT,05:19:00,06:23:00
,LTP,1D80,Y81515,BIRMINGHAM NEW STREET,HOLYHEAD,   ,11 ,   ,06:21:30,06:24:30,06:24:30,VT,05:30:00,08:20:00
TB,LTP,1W05,P16586,CREWE,MANCHESTER PICCADILLY,,6  ,   ,,06:27:00,06:27:00,AW,06:27:00,07:05:00
,LTP,1R08,Y81801,MANCHESTER PICCADILLY,LONDON EUSTON,   ,5  ,FL ,06:26:30,06:28:30,06:28:30,VT,05:55:00,08:08:00
,LTP,****,P80087,WILLESDEN PRDC,SHIELDMUIR MAIL TERMINAL,   ,DFL,   ,,06:30:00,06:30:00,ZZ,03:48:00,10:43:30
TB,LTP,1F29,P66010,CREWE,LIVERPOOL LIME STREET,,12 ,FL ,,06:33:00,06:33:00,LM,06:33:00,07:21:00
TB,LTP,2G05,P67116,CREWE,BIRMINGHAM NEW STREET,,2  ,   ,,06:35:00,06:35:00,LM,06:35:00,08:04:00
,LTP,1R11,Y81804,LIVERPOOL LIME STREET,LONDON EUSTON,   ,UFL,   ,,06:36:30,06:36:30,VT,06:05:00,08:23:00
,LTP,****,H36199,CREWE COAL SIDINGS (DRS),SELLAFIELD B.N.F.,   ,UDL,FL ,,06:37:00,06:37:00,ZZ,06:25:00,09:56:00
,LTP,1V43,C11154,MANCHESTER PICCADILLY,BRISTOL TEMPLE MEADS,   ,5  ,FL ,06:37:00,06:39:30,06:39:30,XC,06:00:00,09:11:00
TB,LTP,2J44,P17681,CREWE,SHREWSBURY,,7  ,   ,,06:40:00,06:40:00,AW,06:40:00,07:25:00
,LTP,****,P86009,MANCHESTER INT DPT (FL),CARLISLE,   ,UFL,   ,06:39:30,06:42:00,06:42:00,ZZ,05:25:00,09:37:00
,LTP,****,P86010,MANCHESTER INT DPT (FL),CARNFORTH D&U.G.L.,   ,UFL,   ,06:39:30,06:42:00,06:42:00,ZZ,05:25:00,08:21:00
TF,LTP,1K14,Y81728,BLACKPOOL NORTH,CREWE,   ,11 ,,06:42:00,,06:42:00,VT,05:30:00,06:42:00
,LTP,4M88,H27297,SOUTHAMPTON W DOCKS (GBRF),TRAFFORD PARK EURO TERM,   ,UFL,   ,,06:42:30,06:42:30,ZZ,01:01:00,08:07:00
,LTP,****,P85001,MANCHESTER INT DPT (FL),BLETCHLEY RELIEF 1,   ,UFL,   ,06:40:30,06:43:00,06:43:00,ZZ,05:16:00,08:37:00
,LTP,****,P85033,MANCHESTER INT DPT (FL),BLETCHLEY RELIEF 1,   ,6  ,SL ,06:39:30,06:43:00,06:43:00,ZZ,05:25:00,08:37:00
TF,LTP,5U20,P69695,CREWE C.S.,CREWE,   ,5  ,,06:46:00,,06:46:00,LM,06:43:00,06:46:00
TB,LTP,2H41,Y52763,CREWE,MANCHESTER PICCADILLY,,1  ,   ,,06:48:00,06:48:00,NT,06:48:00,07:44:00
TB,LTP,2Y00,P69024,CREWE,LONDON EUSTON,,8  ,SL ,,06:49:00,06:49:00,LM,06:49:00,10:19:00
TF,LTP,5K02,C61462,CREWE C.S. (L&NWR SITE),CREWE,   ,3  ,,06:50:00,,06:50:00,EM,06:43:00,06:50:00
TF,LTP,5K02,C61462,CREWE C.S. (L&NWR SITE),CREWE,   ,3  ,,06:50:00,,06:50:00,EM,06:46:00,06:50:00
